xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2026337d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[4]/font/u,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/p[8],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[8],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[10],by and among,/html/body/document/type/sequence/filename/description/text/p[10],by and among,i_t
/html/body/document/type/sequence/filename/description/text/p[12],"SIEMENS HEALTHINEERS HOLDING I GMBH,",/html/body/document/type/sequence/filename/description/text/p[12],"SIEMENS HEALTHINEERS HOLDING I GMBH,",i_t
/html/body/document/type/sequence/filename/description/text/p[14],"FALCON SUB INC.,",/html/body/document/type/sequence/filename/description/text/p[14],"FALCON SUB INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[16],"VARIAN MEDICAL SYSTEMS, INC.",/html/body/document/type/sequence/filename/description/text/p[16],"VARIAN MEDICAL SYSTEMS, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[18],and,/html/body/document/type/sequence/filename/description/text/p[18],and,i_t
/html/body/document/type/sequence/filename/description/text/p[20],"SIEMENS MEDICAL SOLUTIONS USA, INC. (solely for purposes of",/html/body/document/type/sequence/filename/description/text/p[20],"SIEMENS MEDICAL SOLUTIONS USA, INC. (solely for purposes of",i_t
/html/body/document/type/sequence/filename/description/text/p[20]/u,Article VIII,/html/body/document/type/sequence/filename/description/text/p[20]/u,Article VIII,i_t
/html/body/document/type/sequence/filename/description/text/p[20],),/html/body/document/type/sequence/filename/description/text/p[20],),i_t
/html/body/document/type/sequence/filename/description/text/p[22],"Dated as of August 2, 2020",/html/body/document/type/sequence/filename/description/text/p[22],"Dated as of August 2, 2020",e_t
/html/body/document/type/sequence/filename/description/text/p[28]/font,Table of Contents,/html/body/document/type/sequence/filename/description/text/p[28]/font,Table of Contents,s_st
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td/u,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td/font,ARTICLE I,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td/font,THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1]/font,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[2]/font,The Merger,,,o
