xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d170200dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,TRANSACTION AGREEMENT,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,TRANSACTION AGREEMENT,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"June 7, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"June 7, 2021",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"CONTANGO OIL & GAS COMPANY,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"CONTANGO OIL & GAS COMPANY,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"INDEPENDENCE ENERGY LLC,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"INDEPENDENCE ENERGY LLC,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"IE OPCO LLC,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"IE OPCO LLC,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"IE PUBCO INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"IE PUBCO INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11]/b,IE L MERGER SUB LLC,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11]/b,IE L MERGER SUB LLC,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13]/b,IE C MERGER SUB INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13]/b,IE C MERGER SUB INC.,e_t
