xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,nc10015594x7_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div[1]/font,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div[3],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div[1]/div[3],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[5],between,/html/body/document/type/sequence/filename/description/text/div[1]/div[5],between,i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[7],"IRC SUPERMAN MIDCO, LLC,",/html/body/document/type/sequence/filename/description/text/div[1]/div[7],"IRC SUPERMAN MIDCO, LLC,",i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[9],"SUPERMAN MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/div[1]/div[9],"SUPERMAN MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[11],and,/html/body/document/type/sequence/filename/description/text/div[1]/div[11],and,i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[13],"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",/html/body/document/type/sequence/filename/description/text/div[1]/div[13],"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[15],"Dated as of October 1, 2020",/html/body/document/type/sequence/filename/description/text/div[1]/div[15],"Dated as of October 1, 2020",e_t
/html/body/document/type/sequence/filename/description/text/div[1]/div[18]/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div[1]/div[18]/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div[1]/div[20],Page,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[1]/td[1]/div,Article I THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[1]/td[2]/div,2,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[3]/td[2]/div,Section 1.1.,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[3]/td[3]/div,The Merger,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[3]/td[4]/div,2,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[4]/td[2]/div,Section 1.2.,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/table[1]/tbody/tr[4]/td[3]/div,Closing,,,o
