xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d168575dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,SKY PARENT INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,SKY PARENT INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,PROJECT SKY MERGER SUB INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,PROJECT SKY MERGER SUB INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"CLOUDERA, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"CLOUDERA, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of June 1, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of June 1, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p/b/a,ARTICLE I DEFINITIONS & INTERPRETATIONS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[4]/b,2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3]/p/a,Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,,,o
