xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d91099dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AMENDED AND RESTATED AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AMENDED AND RESTATED AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"TIFFANY & CO.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"TIFFANY & CO.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"LVMH MOËT HENNESSY-LOUIS VUITTON SE,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"LVMH MOËT HENNESSY-LOUIS VUITTON SE,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BREAKFAST HOLDINGS ACQUISITION CORP.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BREAKFAST HOLDINGS ACQUISITION CORP.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,BREAKFAST ACQUISITION CORP.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,BREAKFAST ACQUISITION CORP.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of October 28, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of October 28, 2020",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,Article I,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Definitions; Interpretation and Construction,,,o
