xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2117341d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[3]/font,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/p[5]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[5]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[7]/b,among,/html/body/document/type/sequence/filename/description/text/p[7]/b,among,i_t
/html/body/document/type/sequence/filename/description/text/p[9]/b,"CABOT OIL & GAS CORPORATION,",/html/body/document/type/sequence/filename/description/text/p[9]/b,"CABOT OIL & GAS CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/p[11]/b,"DOUBLE C MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/p[11]/b,"DOUBLE C MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[13]/b,and,/html/body/document/type/sequence/filename/description/text/p[13]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/b,CIMAREX ENERGY CO.,/html/body/document/type/sequence/filename/description/text/p[15]/b,CIMAREX ENERGY CO.,i_t
/html/body/document/type/sequence/filename/description/text/p[17]/b,"Dated as of May 23, 2021",/html/body/document/type/sequence/filename/description/text/p[17]/b,"Dated as of May 23, 2021",e_t
/html/body/document/type/sequence/filename/description/text/p[20]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[20]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/p[22]/b/u,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/font[1],Article I,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/font[2],CERTAIN DEFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/font,2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/font,1.1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/font,Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/font,2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/font,1.2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/font,Terms Defined Elsewhere,,,o
