xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,ex_219664.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,ex_219664.htm,,,o
/html/body/document/type/sequence/filename/description/text/p[1]/font/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[5]/b,by and among,/html/body/document/type/sequence/filename/description/text/p[5]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/p[7]/b,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.,",/html/body/document/type/sequence/filename/description/text/p[7]/b,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[9]/b,"PROJECT 8 BUYER, LLC,",/html/body/document/type/sequence/filename/description/text/p[9]/b,"PROJECT 8 BUYER, LLC,",i_t
/html/body/document/type/sequence/filename/description/text/p[11]/b,and,/html/body/document/type/sequence/filename/description/text/p[11]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/p[13]/b,"PROJECT 8 MERGERSUB, INC.",/html/body/document/type/sequence/filename/description/text/p[13]/b,"PROJECT 8 MERGERSUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[15]/b,"December 31, 2020",/html/body/document/type/sequence/filename/description/text/p[15]/b,"December 31, 2020",e_t
/html/body/document/type/sequence/filename/description/text/p[18]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[18]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[3]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/p/b,ARTICLE 1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/p,DEFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/p,1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1]/p,Section 1.01,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2]/p,Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[3]/p,1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/p,Section 1.02,,,o
