xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d204861dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"CHESAPEAKE ENERGY CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"CHESAPEAKE ENERGY CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"HANNIBAL MERGER SUB, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"HANNIBAL MERGER SUB, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"HANNIBAL MERGER SUB, LLC,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"HANNIBAL MERGER SUB, LLC,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,VINE ENERGY INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,VINE ENERGY INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,VINE ENERGY HOLDINGS LLC,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,VINE ENERGY HOLDINGS LLC,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of August 10, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of August 10, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p/b,ARTICLE I CERTAIN DEFINITIONS,,,o
