xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2118507d3_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[4]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[4]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[6],by and among,/html/body/document/type/sequence/filename/description/text/p[6],by and among,i_t
/html/body/document/type/sequence/filename/description/text/p[8]/b,ELANCO ANIMAL HEALTH INCORPORATED,/html/body/document/type/sequence/filename/description/text/p[8]/b,ELANCO ANIMAL HEALTH INCORPORATED,i_t
/html/body/document/type/sequence/filename/description/text/p[8],",",/html/body/document/type/sequence/filename/description/text/p[8],",",i_t
/html/body/document/type/sequence/filename/description/text/p[10]/b,"KNIGHT MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/p[10]/b,"KNIGHT MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[12],and,/html/body/document/type/sequence/filename/description/text/p[12],and,i_t
/html/body/document/type/sequence/filename/description/text/p[14]/b,"KINDRED BIOSCIENCES, INC.",/html/body/document/type/sequence/filename/description/text/p[14]/b,"KINDRED BIOSCIENCES, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[16],dated as of,/html/body/document/type/sequence/filename/description/text/p[16],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/p[18],"June 15, 2021",/html/body/document/type/sequence/filename/description/text/p[18],"June 15, 2021",e_t
/html/body/document/type/sequence/filename/description/text/p[20]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[20]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/p[21]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1],AGREEMENT AND PLAN OF MERGER,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2],1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1]/font,Article,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1],I     THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2],2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1],Section 1.1.   The Merger,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2],2,,,o
