xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d191890dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,SANOFI,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,SANOFI,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],",",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],",",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"VECTOR MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"VECTOR MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"TRANSLATE BIO, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"TRANSLATE BIO, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of AUGUST 2, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of AUGUST 2, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I THE OFFER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],The Offer,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,,,o
