xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d147771dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],BY AND AMONG:,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],BY AND AMONG:,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,DIASORIN S.P.A.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,DIASORIN S.P.A.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,DIAGONAL SUBSIDIARY INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,DIAGONAL SUBSIDIARY INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,LUMINEX CORPORATION,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,LUMINEX CORPORATION,e_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],DATED AS OF,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"APRIL 11, 2021",,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1]/p,ARTICLE I,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[3]/p,THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[6],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[3]/p,The Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[6],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,Section 1.2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3]/p,Conversion of Shares of Common Stock,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,,,o
