xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,ss192505_ex0201.htm,,,o
/html/body/document/type/sequence/filename/description,AGREEMENT AND PLAN OF MERGER,,,o
/html/body/document/type/sequence/filename/description/text/p[1],EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/p[2],EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[11],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[11],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[12],among,/html/body/document/type/sequence/filename/description/text/p[12],among,i_t
/html/body/document/type/sequence/filename/description/text/p[13],"CARTER INTERMEDIATE, INC.,",/html/body/document/type/sequence/filename/description/text/p[13],"CARTER INTERMEDIATE, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[14],"CARTER ACQUISITION, INC.",/html/body/document/type/sequence/filename/description/text/p[14],"CARTER ACQUISITION, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[15],and,/html/body/document/type/sequence/filename/description/text/p[15],and,i_t
/html/body/document/type/sequence/filename/description/text/p[16],AEGION CORPORATION,/html/body/document/type/sequence/filename/description/text/p[16],AEGION CORPORATION,i_t
/html/body/document/type/sequence/filename/description/text/p[17],"Dated as of February 16, 2021",/html/body/document/type/sequence/filename/description/text/p[17],"Dated as of February 16, 2021",e_t
/html/body/document/type/sequence/filename/description/text/p[32]/font/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[32]/font/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/p[33]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/font,Article,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1],I,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1],DEFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1],Section 1.01   Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2],2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/font,Article,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1],II,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1],THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1],Section 2.01   The Merger,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[2],12,,,o
