xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2120305d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[4]/font/b,CONFIDENTIAL,,,o
/html/body/document/type/sequence/filename/description/text/p[4]/b,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/p[6]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[6]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[8]/b,dated as of,/html/body/document/type/sequence/filename/description/text/p[8]/b,dated as of,i_t
/html/body/document/type/sequence/filename/description/text/p[10]/b,"June 21, 2021",/html/body/document/type/sequence/filename/description/text/p[10]/b,"June 21, 2021",i_t
/html/body/document/type/sequence/filename/description/text/p[12]/b,among,/html/body/document/type/sequence/filename/description/text/p[12]/b,among,i_t
/html/body/document/type/sequence/filename/description/text/p[14]/b,"LYDALL, INC.,",/html/body/document/type/sequence/filename/description/text/p[14]/b,"LYDALL, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[16]/b,"UNIFRAX HOLDING CO.,",/html/body/document/type/sequence/filename/description/text/p[16]/b,"UNIFRAX HOLDING CO.,",i_t
/html/body/document/type/sequence/filename/description/text/p[18]/b,"OUTBACK MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/p[18]/b,"OUTBACK MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[20],and,/html/body/document/type/sequence/filename/description/text/p[20],and,i_t
/html/body/document/type/sequence/filename/description/text/p[22]/b,UNIFRAX I LLC,/html/body/document/type/sequence/filename/description/text/p[22]/b,UNIFRAX I LLC,e_t
/html/body/document/type/sequence/filename/description/text/p[26]/b/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[26]/b/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/p[28]/font/u,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td/font[1],Article 1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td/font[2],Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/font,Section 1.01.,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/font/i,Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/font,1,,,o
