xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d260606dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],among:,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],among:,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"NOVO NORDISK A/S,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"NOVO NORDISK A/S,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],a Danish,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],a Danish,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/i,aktieselskab,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/i,aktieselskab,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],;,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],;,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"NNUS NEW RESEARCH, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"NNUS NEW RESEARCH, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation; and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation; and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"DICERNA PHARMACEUTICALS, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"DICERNA PHARMACEUTICALS, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],a Delaware corporation,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],a Delaware corporation,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"Dated as of November 17, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"Dated as of November 17, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,Table of Contents,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,Table of Contents,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1],Section 1,,,o
