xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,nc10019356x4_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[1],Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[3]/u,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[4],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div/div/div[4],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div/div/div[6],BY AND AMONG,/html/body/document/type/sequence/filename/description/text/div/div/div[6],BY AND AMONG,i_t
/html/body/document/type/sequence/filename/description/text/div/div/div[8],PERSPECTA INC.,/html/body/document/type/sequence/filename/description/text/div/div/div[8],PERSPECTA INC.,i_t
/html/body/document/type/sequence/filename/description/text/div/div/div[10],JAGUAR PARENTCO INC.,/html/body/document/type/sequence/filename/description/text/div/div/div[10],JAGUAR PARENTCO INC.,i_t
/html/body/document/type/sequence/filename/description/text/div/div/div[12],AND,/html/body/document/type/sequence/filename/description/text/div/div/div[12],AND,i_t
/html/body/document/type/sequence/filename/description/text/div/div/div[14],JAGUAR MERGER SUB INC.,/html/body/document/type/sequence/filename/description/text/div/div/div[14],JAGUAR MERGER SUB INC.,i_t
/html/body/document/type/sequence/filename/description/text/div/div/div[16],"Dated as of January 27, 2021",/html/body/document/type/sequence/filename/description/text/div/div/div[16],"Dated as of January 27, 2021",e_t
/html/body/document/type/sequence/filename/description/text/div/div/div[19]/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div/div/div[19]/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[1]/td[1]/div,ARTICLE I DEFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[1]/td[2]/div,2,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[2]/td[2]/div,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[2]/td[3]/div,Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[2]/td[4]/div,2,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[3]/td[2]/div,Section 1.2,,,o
/html/body/document/type/sequence/filename/description/text/div/div/div[20]/table[1]/tbody/tr[3]/td[3]/div,Interpretation,,,o
