xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2128840d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[3]/font/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[6]/font,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[6]/font,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[8]/font,among,/html/body/document/type/sequence/filename/description/text/p[8]/font,among,i_t
/html/body/document/type/sequence/filename/description/text/p[10]/font,MERCK SHARP & DOHME CORP.,/html/body/document/type/sequence/filename/description/text/p[10]/font,MERCK SHARP & DOHME CORP.,i_t
/html/body/document/type/sequence/filename/description/text/p[12]/font,"ASTROS MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/p[12]/font,"ASTROS MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[14]/font,and,/html/body/document/type/sequence/filename/description/text/p[14]/font,and,i_t
/html/body/document/type/sequence/filename/description/text/p[16]/font,ACCELERON PHARMA INC.,/html/body/document/type/sequence/filename/description/text/p[16]/font,ACCELERON PHARMA INC.,i_t
/html/body/document/type/sequence/filename/description/text/p[18]/font,"Dated as of September 29, 2021",/html/body/document/type/sequence/filename/description/text/p[18]/font,"Dated as of September 29, 2021",e_t
/html/body/document/type/sequence/filename/description/text/p[23]/font,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[23]/font,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/font,Article I     THE OFFER,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/font,2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1]/font,Section 1.1.,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2]/font,The Offer,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[3],4,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/font,Section 1.2.,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/font,Company Consent; Schedule     14D-9,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/font,5,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1]/font,Section 1.3.,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2]/font,Stockholder Lists,,,o
