xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2129361d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[3]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[5]/font/b,EXECUTION COPY,,,o
/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,,,o
/html/body/document/type/sequence/filename/description/text/p[10],by and among:,,,o
/html/body/document/type/sequence/filename/description/text/p[12]/font/b,"ADAMAS PHARMACEUTICALS, INC.,",,,o
/html/body/document/type/sequence/filename/description/text/p[14]/font/b,"SUPERNUS PHARMACEUTICALS, INC.,",,,o
/html/body/document/type/sequence/filename/description/text/p[16]/font,and,,,o
/html/body/document/type/sequence/filename/description/text/p[18]/font/b,"SUPERNUS REEF, INC.",,,o
/html/body/document/type/sequence/filename/description/text/p[20],Dated as of October,,,o
/html/body/document/type/sequence/filename/description/text/p[20]/font,"10, 2021",,,o
/html/body/document/type/sequence/filename/description/text/p[27]/font/b,TABLE OF CONTENTS,,,o
/html/body/document/type/sequence/filename/description/text/p[29]/font/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/font,Article 1 DEFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/font,2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/font,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/font,Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/font,2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/font,Article 2 THE OFFER,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/font,14,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1]/font,Section 2.1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[2]/font,The     Offer.,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[3]/font,14,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[1]/font,Section 2.2,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[2]/font,Company     Actions.,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[3],16,,,o
