xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d23566dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,A,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,A,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],GREEMENT,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],GREEMENT,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,P,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,P,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],LAN,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],LAN,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[4],OF,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[4],OF,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,M,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,M,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[5],ERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[5],ERGER,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,B,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,B,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b/small[1],Y,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b/small[1],Y,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b/small[2],AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b/small[2],AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,A,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,A,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b/small[3],MONG,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b/small[3],MONG,i_t
