xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,exhibit21mergeragreement.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,Document,,,o
/html/body/document/type/sequence/filename/description/text/div[3]/font,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[15]/font,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div[15]/font,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div[17]/font,BY AND BETWEEN,/html/body/document/type/sequence/filename/description/text/div[17]/font,BY AND BETWEEN,i_t
/html/body/document/type/sequence/filename/description/text/div[19]/font,"NICOLET BANKSHARES, INC.",/html/body/document/type/sequence/filename/description/text/div[19]/font,"NICOLET BANKSHARES, INC.",i_t
/html/body/document/type/sequence/filename/description/text/div[21]/font,AND,/html/body/document/type/sequence/filename/description/text/div[21]/font,AND,i_t
/html/body/document/type/sequence/filename/description/text/div[23]/font,MACKINAC FINANCIAL CORPORATION,/html/body/document/type/sequence/filename/description/text/div[23]/font,MACKINAC FINANCIAL CORPORATION,i_t
/html/body/document/type/sequence/filename/description/text/div[25]/font,12-Apr-21,/html/body/document/type/sequence/filename/description/text/div[25]/font,"APRIL 12, 2021",e_t
/html/body/document/type/sequence/filename/description/text/div[30]/font,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div[30]/font,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[2]/td[1]/div/font,Article 1 THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[2]/td[2]/div/font/a,1,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[3]/td[1]/div/font[1],Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[3]/td[1]/div/font[3],The Merger,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[3]/td[2]/div/font/a,1,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[4]/td[1]/div/font[1],Section 1.2,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[4]/td[1]/div/font[3],Effective Time; Closing,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[4]/td[2]/div/font/a,1,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[5]/td[1]/div/font[1],Section 1.3,,,o
/html/body/document/type/sequence/filename/description/text/div[31]/table/tbody/tr[5]/td[1]/div/font[3],Effects of the Merger,,,o
