xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d135195dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,C,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,C,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],ORNERSTONE,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],ORNERSTONE,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,O,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,O,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],N,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],N,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,D,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,D,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],EMAND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],EMAND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,", I",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,", I",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[4],NC,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[4],NC,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,".,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,".,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation;,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation;,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,S,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,S,i_t
