xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d758004dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,PROJECT ELEVATE,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,PROJECT ELEVATE,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,PLAN AND AGREEMENT OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,PLAN AND AGREEMENT OF MERGER,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,AMONG,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,AMONG,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"GLACIER BANCORP, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"GLACIER BANCORP, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,GLACIER BANK,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,GLACIER BANK,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11]/b,ALTABANCORP AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11]/b,ALTABANCORP AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,ALTABANK,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,ALTABANK,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13]/b,"DATED AS OF MAY 18, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13]/b,"DATED AS OF MAY 18, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1]/p,ARTICLE 1 TERMS OF TRANSACTION,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[4],11,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[3],Effect of Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[6],11,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,1.2,,,o
