xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,brhc10018583_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[1]/font,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[3]/div/u,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[5],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div[1]/div/div[5],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[7],by and among,/html/body/document/type/sequence/filename/description/text/div[1]/div/div[7],by and among,i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[9],"CENTENE CORPORATION,",/html/body/document/type/sequence/filename/description/text/div[1]/div/div[9],"CENTENE CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[11],"MAYFLOWER MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/div[1]/div/div[11],"MAYFLOWER MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[13],and,/html/body/document/type/sequence/filename/description/text/div[1]/div/div[13],and,i_t
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[15],"MAGELLAN HEALTH, INC.",/html/body/document/type/sequence/filename/description/text/div[1]/div/div[15],"MAGELLAN HEALTH, INC.",e_t
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[17],"Dated as of January 4, 2021",,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/div[20],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div[1]/div/div[20],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[1]/td[3]/div/u,Page,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[2]/td/div,ARTICLE I,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[4]/td/div,THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[6]/td[1]/div,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[6]/td[2]/div,Closing,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[6]/td[3]/div,2,,,o
/html/body/document/type/sequence/filename/description/text/div[1]/div/table[1]/tbody/tr[7]/td[1]/div,Section 1.2,,,o
