xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,ktyb-20210128xex2d1.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[1],Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[2]/font,​,,,o
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[3]/font,​,,,o
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[5],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div[2]/div/p[5],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[6],among,/html/body/document/type/sequence/filename/description/text/div[2]/div/p[6],among,i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[7],"STOCK YARDS BANCORP, INC.,",/html/body/document/type/sequence/filename/description/text/div[2]/div/p[7],"STOCK YARDS BANCORP, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[8],"a Kentucky corporation,",/html/body/document/type/sequence/filename/description/text/div[2]/div/p[8],"a Kentucky corporation,",i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[9],"H. MEYER MERGER SUBSIDIARY, INC.,",/html/body/document/type/sequence/filename/description/text/div[2]/div/p[9],"H. MEYER MERGER SUBSIDIARY, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[10],"a Kentucky corporation,",/html/body/document/type/sequence/filename/description/text/div[2]/div/p[10],"a Kentucky corporation,",i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[11],and,/html/body/document/type/sequence/filename/description/text/div[2]/div/p[11],and,i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[12],"KENTUCKY BANCSHARES, INC.",/html/body/document/type/sequence/filename/description/text/div[2]/div/p[12],"KENTUCKY BANCSHARES, INC.",i_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[13],a Kentucky corporation,/html/body/document/type/sequence/filename/description/text/div[2]/div/p[13],a Kentucky corporation,e_t
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[14],27-Jan-21,,,o
/html/body/document/type/sequence/filename/description/text/div[2]/div/p[15]/font,​,,,o
/html/body/document/type/sequence/filename/description/text/div[3]/div/p[1]/font,Index to Defined Terms,/html/body/document/type/sequence/filename/description/text/div[3]/div/p[1]/font,Index to Defined Terms,s_st
/html/body/document/type/sequence/filename/description/text/div[3]/div/p[2]/font[1]/b,Term,,,o
/html/body/document/type/sequence/filename/description/text/div[3]/div/p[2]/b,Section of the Agreement,,,o
