xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d28897dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"CHANGE HEALTHCARE INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"CHANGE HEALTHCARE INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],UNITEDHEALTH GROUP INCORPORATED,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],UNITEDHEALTH GROUP INCORPORATED,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],CAMBRIDGE MERGER SUB INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],CAMBRIDGE MERGER SUB INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"Dated as of January 5, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"Dated as of January 5, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[2],Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[3],ARTICLE I,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],Definitions,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[2]/td[1],1.1.,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[2]/td[3]/p,Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[2]/td[6],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[3]/td[1],1.2.,,,o
