xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d28714dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"OAKTREE STRATEGIC INCOME CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"OAKTREE STRATEGIC INCOME CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"OAKTREE SPECIALTY LENDING CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"OAKTREE SPECIALTY LENDING CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"LION MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"LION MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"OAKTREE FUND ADVISORS, LLC",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"OAKTREE FUND ADVISORS, LLC",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,(for the limited purposes set forth herein),/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,(for the limited purposes set forth herein),i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of October 28, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of October 28, 2020",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
