xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d810900dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2],EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"NOVEMBER 7, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"NOVEMBER 7, 2020",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,NAVISTAR INTERNATIONAL CORPORATION,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,NAVISTAR INTERNATIONAL CORPORATION,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],",",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],",",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,TRATON SE,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,TRATON SE,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,DUSK INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,DUSK INC.,e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],P,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/small,AGE,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1],ARTICLE 1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1],D,,,o
