xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d190962dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"VULCAN MATERIALS COMPANY,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"VULCAN MATERIALS COMPANY,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"GRIZZLY MERGER SUB I, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"GRIZZLY MERGER SUB I, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"U.S. CONCRETE, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"U.S. CONCRETE, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],dated as of,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"June 6, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"June 6, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,ARTICLE I CERTAIN DEFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[4],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Section 1.1.,,,o
