xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,exhibit21mergeragreement.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,Document,,,o
/html/body/document/type/sequence/filename/description/text/div[13]/font,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div[13]/font,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div[15]/font,dated as of,/html/body/document/type/sequence/filename/description/text/div[15]/font,dated as of,i_t
/html/body/document/type/sequence/filename/description/text/div[17]/font,"March 26, 2021",/html/body/document/type/sequence/filename/description/text/div[17]/font,"March 26, 2021",i_t
/html/body/document/type/sequence/filename/description/text/div[19]/font,by and between,/html/body/document/type/sequence/filename/description/text/div[19]/font,by and between,i_t
/html/body/document/type/sequence/filename/description/text/div[21]/font,PEOPLES BANCORP INC.,/html/body/document/type/sequence/filename/description/text/div[21]/font,PEOPLES BANCORP INC.,i_t
/html/body/document/type/sequence/filename/description/text/div[23]/font,and,/html/body/document/type/sequence/filename/description/text/div[23]/font,and,i_t
/html/body/document/type/sequence/filename/description/text/div[25]/font,"Premier Financial Bancorp, Inc.",/html/body/document/type/sequence/filename/description/text/div[25]/font,"Premier Financial Bancorp, Inc.",e_t
/html/body/document/type/sequence/filename/description/text/div[30]/div/div/font,1,/html/body/document/type/sequence/filename/description/text/div[30]/div/div/font,1,s_n
/html/body/document/type/sequence/filename/description/text/div[33]/font,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div[33]/font,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[2]/td[3]/font,Page,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[3]/td[1]/div/font/a,Article I – Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[3]/td[2]/div/font/a,2,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[4]/td[2]/div/font/a,1.01      Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[4]/td[3]/div/font/a,2,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[5]/td[1]/div/font/a,Article II – The Merger,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[5]/td[2]/div/font/a,9,,,o
/html/body/document/type/sequence/filename/description/text/div[34]/table/tbody/tr[6]/td[2]/div/font/a,2.01      The Parent Merger,,,o
