xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d16566dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b[2]/i,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among:,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],by and among:,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"VIASAT, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"VIASAT, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],a Delaware corporation;,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],a Delaware corporation;,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"ROYAL ACQUISITION SUB, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"ROYAL ACQUISITION SUB, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],a Delaware corporation;,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],a Delaware corporation;,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,"RIGNET, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,"RIGNET, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13],a Delaware corporation,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13],a Delaware corporation,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[15],"Dated as of December 20, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[15],"Dated as of December 20, 2020",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,SECTION 1.,,,o
