xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d199663dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION COPY,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"DATED AS OF JULY 2, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"DATED AS OF JULY 2, 2021",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],BY AND AMONG,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],BY AND AMONG,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"SPB HOSPITALITY LLC,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"SPB HOSPITALITY LLC,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"TITAN MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"TITAN MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"J. ALEXANDER’S HOLDINGS, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],"J. ALEXANDER’S HOLDINGS, INC.",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[3],Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p/a,ARTICLE I THE MERGER; CERTAIN RELATED MATTERS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[4],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p/a,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3]/p/a,The Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],1,,,o
