xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm2127034d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[5]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[5]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[7]/b,by and among,/html/body/document/type/sequence/filename/description/text/p[7]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/p[9]/b,"COLUMBIA PROPERTY TRUST, INC.,",/html/body/document/type/sequence/filename/description/text/p[9]/b,"COLUMBIA PROPERTY TRUST, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[11]/b,"COLUMBIA PROPERTY TRUST OPERATING PARTNERSHIP, LP,",/html/body/document/type/sequence/filename/description/text/p[11]/b,"COLUMBIA PROPERTY TRUST OPERATING PARTNERSHIP, LP,",i_t
/html/body/document/type/sequence/filename/description/text/p[13]/b,"PANTHER MERGER PARENT, INC.,",/html/body/document/type/sequence/filename/description/text/p[13]/b,"PANTHER MERGER PARENT, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[15]/b,and,/html/body/document/type/sequence/filename/description/text/p[15]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/p[17]/b,"PANTHER MERGER SUB, LLC",/html/body/document/type/sequence/filename/description/text/p[17]/b,"PANTHER MERGER SUB, LLC",i_t
/html/body/document/type/sequence/filename/description/text/p[19]/b,"Dated as of September 7, 2021",/html/body/document/type/sequence/filename/description/text/p[19]/b,"Dated as of September 7, 2021",e_t
/html/body/document/type/sequence/filename/description/text/p[24]/b/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/p[24]/b/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/p[26]/b/u,Page,,,o
/html/body/document/type/sequence/filename/description/text/p[28]/b,CONTENTS,/html/body/document/type/sequence/filename/description/text/p[28]/b,CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[4]/font/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/font,Article I. THE MERGERS,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2],5,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/font,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[3]/font,The Mergers,,,o
