xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d89165dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/u,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"BUILDERS FIRSTSOURCE, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"BUILDERS FIRSTSOURCE, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"BOSTON MERGER SUB I INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"BOSTON MERGER SUB I INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"BMC STOCK HOLDINGS, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"BMC STOCK HOLDINGS, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of August 26, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of August 26, 2020",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1],ARTICLE I,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1],THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1],Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3]/p,Closing,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],6,,,o
