xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d93250dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"ELI LILLY AND COMPANY,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"ELI LILLY AND COMPANY,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"TYTO ACQUISITION CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"TYTO ACQUISITION CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],PREVAIL THERAPEUTICS INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],PREVAIL THERAPEUTICS INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of December 14, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of December 14, 2020",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1]/p,ARTICLE I THE OFFER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[4],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,Section 1.1.,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[3],The Offer,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[6],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,Section 1.2.,,,o
