xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d35420dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"PIONEER NATURAL RESOURCES COMPANY,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"PIONEER NATURAL RESOURCES COMPANY,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"PEARL FIRST MERGER SUB INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"PEARL FIRST MERGER SUB INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"PEARL SECOND MERGER SUB LLC,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"PEARL SECOND MERGER SUB LLC,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"PEARL OPCO MERGER SUB LLC,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"PEARL OPCO MERGER SUB LLC,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"PARSLEY ENERGY, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"PARSLEY ENERGY, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,"PARSLEY ENERGY, LLC",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12]/b,"PARSLEY ENERGY, LLC",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13],"Dated as of October 20, 2020",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[13],"Dated as of October 20, 2020",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,,,o
