xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,brhc10026007_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div/div[1]/font,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[3],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div/div[2]/div[3],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[5],among,/html/body/document/type/sequence/filename/description/text/div/div[2]/div[5],among,i_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[7],"MITSUBISHI HC CAPITAL INC.,",/html/body/document/type/sequence/filename/description/text/div/div[2]/div[7],"MITSUBISHI HC CAPITAL INC.,",i_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[9],"CATTLEYA ACQUISITION CORP.,",/html/body/document/type/sequence/filename/description/text/div/div[2]/div[9],"CATTLEYA ACQUISITION CORP.,",i_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[11],and,/html/body/document/type/sequence/filename/description/text/div/div[2]/div[11],and,i_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[13],"CAI INTERNATIONAL, INC.",/html/body/document/type/sequence/filename/description/text/div/div[2]/div[13],"CAI INTERNATIONAL, INC.",i_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[15],"Dated as of June 17, 2021",/html/body/document/type/sequence/filename/description/text/div/div[2]/div[15],"Dated as of June 17, 2021",e_t
/html/body/document/type/sequence/filename/description/text/div/div[2]/div[18],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div/div[2]/div[18],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[1]/td[4]/div,Page,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[3]/td[1]/div,ARTICLE I CERTAIN DEFINITIONS; INTERPRETATION,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[3]/td[2]/div,1,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[5]/td[2]/div,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[5]/td[3]/div,Certain Definitions,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[5]/td[4]/div,1,,,o
/html/body/document/type/sequence/filename/description/text/div/div[2]/table[1]/tbody/tr[6]/td[2]/div,Section 1.2,,,o
