xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d109088dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"M&T BANK CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"M&T BANK CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BRIDGE MERGER CORP.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BRIDGE MERGER CORP.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"PEOPLE’S UNITED FINANCIAL, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"PEOPLE’S UNITED FINANCIAL, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of February 21, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of February 21, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[2]/b,ARTICLE I,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[3]/b,THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[2]/td[1]/p,1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[2]/td[3],The Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[2]/td[6],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table[1]/tbody/tr[3]/td[1]/p,1.2,,,o
