xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-99.2,,,o
/html/body/document/type/sequence,3,,,o
/html/body/document/type/sequence/filename,d171644dex992.htm,,,o
/html/body/document/type/sequence/filename/description,EX-99.2,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-99.2,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 99.2,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"June 20, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"June 20, 2021",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"RAVEN INDUSTRIES, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"RAVEN INDUSTRIES, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,CNH INDUSTRIAL N.V.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,CNH INDUSTRIAL N.V.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"CNH INDUSTRIAL SOUTH DAKOTA, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"CNH INDUSTRIAL SOUTH DAKOTA, INC.",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[3],P,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[3]/small,AGE,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1],ARTICLE 1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1],D,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/small,EFINITIONS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Section 1.01.,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p/i,Definitions,,,o
