xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d100489dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"MICROSOFT CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"MICROSOFT CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BIG SKY MERGER SUB INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BIG SKY MERGER SUB INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"NUANCE COMMUNICATIONS, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,"NUANCE COMMUNICATIONS, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of April 11, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"Dated as of April 11, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I DEFINITIONS & INTERPRETATIONS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1.,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],Certain Definitions,,,o
