xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,ex_209884.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,ex_209884.htm,,,o
/html/body/document/type/sequence/filename/description/text/p[1]/font/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[4],EXECUTION COPY,,,o
/html/body/document/type/sequence/filename/description/text/p[9]/b[1],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[9]/b[1],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[9]/b[2],AND REORGANIZATION,/html/body/document/type/sequence/filename/description/text/p[9]/b[2],AND REORGANIZATION,i_t
/html/body/document/type/sequence/filename/description/text/p[11],by and among:,/html/body/document/type/sequence/filename/description/text/p[11],by and among:,i_t
/html/body/document/type/sequence/filename/description/text/p[13]/font/b[1],Marvell Technology Group Ltd.,/html/body/document/type/sequence/filename/description/text/p[13]/font/b[1],Marvell Technology Group Ltd.,i_t
/html/body/document/type/sequence/filename/description/text/p[13]/font/b[2],",",/html/body/document/type/sequence/filename/description/text/p[13]/font/b[2],",",i_t
/html/body/document/type/sequence/filename/description/text/p[13],a Bermuda exempted company;,/html/body/document/type/sequence/filename/description/text/p[13],a Bermuda exempted company;,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[1],Maui,/html/body/document/type/sequence/filename/description/text/p[15]/font/b[1],Maui,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[2],H,/html/body/document/type/sequence/filename/description/text/p[15]/font/b[2],H,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[3],old,/html/body/document/type/sequence/filename/description/text/p[15]/font/b[3],old,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[4],Co,/html/body/document/type/sequence/filename/description/text/p[15]/font/b[4],Co,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[5],",",/html/body/document/type/sequence/filename/description/text/p[15]/font/b[5],",",i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[7],Inc.,/html/body/document/type/sequence/filename/description/text/p[15]/font/b[7],Inc.,i_t
/html/body/document/type/sequence/filename/description/text/p[15]/font/b[8],",",/html/body/document/type/sequence/filename/description/text/p[15]/font/b[8],",",i_t
/html/body/document/type/sequence/filename/description/text/p[15],a Delaware corporation;,/html/body/document/type/sequence/filename/description/text/p[15],a Delaware corporation;,i_t
