xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d104875dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1],Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,C,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,C,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],ONSTELLATION,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[1],ONSTELLATION,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,P,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,P,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],HARMACEUTICALS,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[2],HARMACEUTICALS,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,", I",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,", I",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],NC,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b/small[3],NC,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,".,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,".,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation;,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],a Delaware corporation;,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,M,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,M,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b/small[1],ORPHO,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b/small[1],ORPHO,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,S,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,S,i_t
