xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,mergeragreement.htm,,,o
/html/body/document/type/sequence/filename/description,"EX-2.1 PLAN OF MERGER, TCF AND HUNTINGTON",,,o
/html/body/document/type/sequence/filename/description/text/title,Document,,,o
/html/body/document/type/sequence/filename/description/text/div[10]/font,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/div[10]/font,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/div[12]/font,by and between,/html/body/document/type/sequence/filename/description/text/div[12]/font,by and between,i_t
/html/body/document/type/sequence/filename/description/text/div[14]/font,HUNTINGTON BANCSHARES INCORPORATED,/html/body/document/type/sequence/filename/description/text/div[14]/font,HUNTINGTON BANCSHARES INCORPORATED,i_t
/html/body/document/type/sequence/filename/description/text/div[15]/font,and,/html/body/document/type/sequence/filename/description/text/div[15]/font,and,i_t
/html/body/document/type/sequence/filename/description/text/div[16]/font,TCF FINANCIAL CORPORATION,/html/body/document/type/sequence/filename/description/text/div[16]/font,TCF FINANCIAL CORPORATION,i_t
/html/body/document/type/sequence/filename/description/text/div[17]/font,_____________________,/html/body/document/type/sequence/filename/description/text/div[17]/font,_____________________,i_t
/html/body/document/type/sequence/filename/description/text/div[18]/font,"Dated as of December 13, 2020",/html/body/document/type/sequence/filename/description/text/div[18]/font,"Dated as of December 13, 2020",e_t
/html/body/document/type/sequence/filename/description/text/div[25]/font,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/div[25]/font,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[2]/td/div[1]/font,Article I,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[2]/td/div[3]/font,THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[3]/td[1]/div/font,1.1    The Merger,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[3]/td[2]/div/font/a,1,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[4]/td[1]/div/font,1.2    Closing,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[4]/td[2]/div/font/a,1,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[5]/td[1]/div/font,1.3    Effective Time,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[5]/td[2]/div/font/a,2,,,o
/html/body/document/type/sequence/filename/description/text/div[26]/table/tbody/tr[6]/td[1]/div/font,1.4    Effects of the Merger,,,o
