xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d130942dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/u,EXECUTION VERSION,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"COHERENT, INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],"COHERENT, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/font,II-VI,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/font,II-VI,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"INCORPORATED,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],"INCORPORATED,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],WATSON MERGER SUB INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],WATSON MERGER SUB INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of March 25, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of March 25, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1]/p,ARTICLE I THE MERGER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[4],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[3],The Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[6],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,Section 1.2,,,o
