xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d19211dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/i,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"FRONT YARD RESIDENTIAL CORPORATION,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"FRONT YARD RESIDENTIAL CORPORATION,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"PRETIUM MIDWAY HOLDCO, LP",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"PRETIUM MIDWAY HOLDCO, LP",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],MIDWAY ACQUISITIONCO REIT,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],MIDWAY ACQUISITIONCO REIT,e_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"Dated as of October 19, 2020",,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I THE MERGER; CLOSING; EFFECTIVE TIME,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],The Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,1.2,,,o
