xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d174639dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and between,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],by and between,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],KIMCO REALTY CORPORATION,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],KIMCO REALTY CORPORATION,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],WEINGARTEN REALTY INVESTORS,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],WEINGARTEN REALTY INVESTORS,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of April 15, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"Dated as of April 15, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I MERGER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,Section 1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,Section 1.2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3],Closing,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],2,,,o
