xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d171571dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b/u,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],By and Among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],By and Among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,CREATION TECHNOLOGIES INTERNATIONAL INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,CREATION TECHNOLOGIES INTERNATIONAL INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"CTI ACQUISITION CORP.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"CTI ACQUISITION CORP.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"CREATION TECHNOLOGIES INC.,",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"CREATION TECHNOLOGIES INC.,",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,IEC ELECTRONICS CORP.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,IEC ELECTRONICS CORP.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],dated as of,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"August 12, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],"August 12, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[1]/p,ARTICLE I. The Offer,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[4],2,,,o
