xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,tm218586d1_ex2-1.htm,,,o
/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[2]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/p[4]/font/b/i,Execution Version,,,o
/html/body/document/type/sequence/filename/description/text/p[6]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/p[6]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/p[8],dated as of,/html/body/document/type/sequence/filename/description/text/p[8],dated as of,i_t
/html/body/document/type/sequence/filename/description/text/p[10],"March 2, 2021",/html/body/document/type/sequence/filename/description/text/p[10],"March 2, 2021",i_t
/html/body/document/type/sequence/filename/description/text/p[12],among,/html/body/document/type/sequence/filename/description/text/p[12],among,i_t
/html/body/document/type/sequence/filename/description/text/p[14]/b,"THE MICHAELS COMPANIES, INC.,",/html/body/document/type/sequence/filename/description/text/p[14]/b,"THE MICHAELS COMPANIES, INC.,",i_t
/html/body/document/type/sequence/filename/description/text/p[16]/b,"MAGIC ACQUIRECO, INC.",/html/body/document/type/sequence/filename/description/text/p[16]/b,"MAGIC ACQUIRECO, INC.",i_t
/html/body/document/type/sequence/filename/description/text/p[18],and,/html/body/document/type/sequence/filename/description/text/p[18],and,i_t
/html/body/document/type/sequence/filename/description/text/p[20]/b,"MAGIC MERGECO, INC.",/html/body/document/type/sequence/filename/description/text/p[20]/b,"MAGIC MERGECO, INC.",e_t
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr/td/p/font/b,Table of Contents,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr/td/p/font/b,Table of Contents,s_st
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr/td[2]/p/font/b/u,Page,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[1]/td[1]/font,Article,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[1]/td[1],1 Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[1]/td[2],2,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[2]/td[1],Section 1.01.   Definitions,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[2]/td[2],2,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[3]/td[1]/font,Article,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[3]/td[1],2 The Offer and the Merger,,,o
