xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d193271dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],by and among,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3],by and among,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"NEWPORT HOLDINGS, LLC",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"NEWPORT HOLDINGS, LLC",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],",",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4],",",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"NEWPORT MERGER SUB, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"NEWPORT MERGER SUB, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],and,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],and,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,THE NEW HOME COMPANY INC.,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,THE NEW HOME COMPANY INC.,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"Dated as of July 23, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],"Dated as of July 23, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5],Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE 1 THE OFFER,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],3,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3]/p,The Offer,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],3,,,o
